Code,subcode,Offence description,Violent offence
00000,0.0,Unknown,No
00100,100.0,Murder    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
00101,101.0,Murder of persons aged 1 year or over. Murder abroad by UK citizen. Genocide or crime against humanity,Yes
00102,102.0,Murder: Of infants under 1 year of age. Murder abroad by UK citizen.,Yes
00200,200.0,Attempted murder. Attempted murder abroad by UK citizen. Attempted genocide or crime against humanity,Yes
00300,300.0,"Threats, conspiracy or incitement to murder    [Use this code only if you are unable to determine which subcoded Offence applies]",Yes
00301,301.0,Making threats to kill,Yes
00302,302.0,"Conspiracy or soliciting, etc., to commit murder. Conspiracy or soliciting to commit murder abroad by UK citizen. Conspiring, aiding, abetting, counselling, procuring or inciting commission of genocide or crime against humanity",Yes
00303,303.0,Assisting offender by impeding his apprehension or prosecution in a case of murder. Concealing commission of genocide or crime against humanity,Yes
00304,304.0,Intentionally encouraging or assisting commission of Murder,Yes
00305,305.0,Encouraging or assisting in the commission of Murder believing it will be committed,Yes
00306,306.0,Encouraging or assisting in the commission of one or more offences of Murder believing one or more will be committed,Yes
00400,400.0,Manslaughter etc    [Use this code only if you are unable to determine which subcoded Offence applies],Yes
00401,401.0,Manslaughter. Manslaughter abroad by UK citizen. Manslaughter by driving,Yes
00402,402.0,Infanticide,Yes
00403,403.0,Child destruction,Yes
00404,404.0,Causing death by dangerous driving,No
00405,405.0,Manslaughter: Diminished responsibility,Yes
00406,406.0,Causing death by careless driving when under the influence of drink or drugs,No
00407,407.0,Causing or allowing the death of a child or vulnerable person,Yes
00408,408.0,Causing death by careless or inconsiderate driving,No
00409,409.0,"Causing death by driving - unlicensed, disqualified or uninsured drivers",No
00410,410.0,Applicable organisation by way of management or organisation of its activities causing death by gross breach of duty of care,Yes
00411,411.0,Causing or allowing child or vulnerable adult to suffer serious physical harm,Yes
00412,412.0,Cause serious injury by dangerous driving,No
00413,413.0,Cause death by driving without due care / consideration while over prescribed limit - specified controlled drug,No
