Category,Code,Offence description,Statute
Violence Against the Person ABH +,00100,Murder    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00101,Murder of persons aged 1 year or over. Murder abroad by UK citizen. Genocide or crime against humanity,"Common Law; Offences against the Person Act 1861 SS.1, 9 and 10. International Criminal Court Act 2001"
Violence Against the Person ABH +,00102,Murder: Of infants under 1 year of age. Murder abroad by UK citizen.,"Common Law; Offences against the Person Act 1861 SS.1, 9 and 10."
Violence Against the Person ABH +,00200,Attempted murder. Attempted murder abroad by UK citizen. Attempted genocide or crime against humanity,"Common Law; Offences against the Person Act 1861 S 9; International Criminal Court Act 2001, SS.52 or 53 & 55"
Violence Against the Person ABH +,00300,"Threats, conspiracy or incitement to murder    [Use this code only if you are unable to determine which subcoded Offence applies]",
Violence Against the Person ABH +,00301,Making threats to kill,Offences against the Person Act1861 S.16.
Violence Against the Person ABH +,00302,"Conspiracy or soliciting, etc., to commit murder. Conspiracy or soliciting to commit murder abroad by UK citizen. Conspiring, aiding, abetting, counselling, procuring or inciting commission of genocide or crime against humanity","Common Law; Criminal Law Act 1977 S.1;Offences against the Person Act 1861 S.4. International Criminal Court Act 2001, SS.52 or 53 & 55"
Violence Against the Person ABH +,00303,Assisting offender by impeding his apprehension or prosecution in a case of murder. Concealing commission of genocide or crime against humanity,"Criminal Law Act 1967 S.4(1), International Criminal Court Act 2001 SS.52 or 53 & 55"
Violence Against the Person ABH +,00304,Intentionally encouraging or assisting commission of Murder,Serious Crime Act 2007 S.44(pt)
Violence Against the Person ABH +,00305,Encouraging or assisting in the commission of Murder believing it will be committed,Serious Crime Act 2007 S.45(pt)
Violence Against the Person ABH +,00306,Encouraging or assisting in the commission of one or more offences of Murder believing one or more will be committed,Serious Crime Act 2007 S.46(pt)
Violence Against the Person ABH +,00400,Manslaughter etc    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00401,Manslaughter. Manslaughter abroad by UK citizen. Manslaughter by driving,Common Law. Offences against the Person Act 1861 S.9
Violence Against the Person ABH +,00402,Infanticide,Infanticide Act 1938 S.1(1)
Violence Against the Person ABH +,00403,Child destruction,Infant Life (Preservation) Act 1929 S.1
Violence Against the Person ABH +,00405,Manslaughter: Diminished responsibility,Homicide Act 1957 S.2
Violence Against the Person ABH +,00407,Causing or allowing the death of a child or vulnerable person,"Domestic Violence, Crime and Victims Act 2004. S.5"
Violence Against the Person ABH +,00410,Applicable organisation by way of management or organisation of its activities causing death by gross breach of duty of care,Corporate Manslaughter and Corporate Homicide Act 2007 S.1(1)
Violence Against the Person ABH +,00411,Causing or allowing child or vulnerable adult to suffer serious physical harm,"Domestic Violence, Crime and Victims Act 2004, S.5(1) & (8)"
Violence Against the Person ABH +,00500,Wounding and other acts endangering life    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00501,"Wounding, etc, with intent to do grievous bodily harm, etc., or to resist apprehension",Offences against the Person Act1861 S.18
Violence Against the Person ABH +,00502,Shooting at naval or revenue vessels,Customs and Excise Management Act1979 S.85(2)
Violence Against the Person ABH +,00504,"Attempting to choke, suffocate etc with intent to commit an indictable offence (garrotting)",Offences against the Person Act1961 S.21
Violence Against the Person ABH +,00505,"Using chloroform, etc., to commit or assist in committing an indictable offence",Offences against the Person Act1861 S.22
Violence Against the Person ABH +,00506,"Burning, maiming, etc. by explosion",Offences against the Person Act1861 S.28
Violence Against the Person ABH +,00507,"Causing, explosions or casting corrosive fluids with intent to do grievous bodily harm",Offences against the Person Act1861 S.29
Violence Against the Person ABH +,00508,Impeding the saving of life from shipwreck,Offences against the Person Act1861 S.17
Violence Against the Person ABH +,00509,"Placing, etc. explosives in or near ships or buildings with intent to do bodily harm, etc.",Offences against the Person Act1861 S.30
Violence Against the Person ABH +,00510,Endangering life or causing harm by administering poison,Offences against the Person Act1861 S.23
Violence Against the Person ABH +,00511,"Causing danger by causing anything to be on a road, interfering with a vehicle or traffic equipment",Road Traffic Act 1988 S.22A as added by the Road Traffic Act 1991 S.6
Violence Against the Person ABH +,00513,Possession etc. of explosives with intent to endanger life,Explosives Substances Act 1883 S.3 (in part)
Violence Against the Person ABH +,00520,Use etc. of chemical weapons,Chemical Weapons Act 1996 S.2
Violence Against the Person ABH +,00521,Use of premises or equipment for producing chemical weapons,Chemical Weapons Act 1996 S.11
Violence Against the Person ABH +,00522,"Use, threat of use, production or possession of a nuclear weapon","Anti-Terrorism, Crime & Security Act 2001 S.47"
Violence Against the Person ABH +,00523,Weapons related acts overseas,"Anti-Terrorism, Crime & Security Act 2001 S.50"
Violence Against the Person ABH +,00524,Use of noxious substances or things to cause harm or intimidate,"Anti-Terrorism, Crime & Security Act 2001 S.113"
Violence Against the Person ABH +,00525,Performing an aviation function or ancillary function when ability to carry out function is impaired because of drink or drugs,Railways and Transport Safety Act 2003 SS.92 & 95
Violence Against the Person ABH +,00526,Endangering safety at aerodromes,Aviation and Maritime Security Act 1990
Violence Against the Person ABH +,00527,Torture,Criminal Justice Act 1988
Violence Against the Person ABH +,00600,Endangering railway passengers    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00601,"Endangering railway passengers: By placing, etc., anything on railway, taking up rails, changing points and signals etc.",Offences against the Person Act 1861 S.32
Violence Against the Person ABH +,00602,"Endangering railway passengers: By throwing anything at railway carriages, etc.",Offences against the Person Act1861 S.33
Violence Against the Person ABH +,00603,"Endangering railway passengers: By unlawful acts, or by omission or neglect",Offences against the Person Act1861 S.34
Violence Against the Person ABH +,00604,"Endangering railway passengers: Destroying, damaging etc. a Channel Tunnel train or the Tunnel system, or committing acts of violence likely to endanger safety of operation. Similar offences under Channel Tunnel Act 1987",Channel Tunnel (Security) Order1994 Art.6. Channel Tunnel Act 1987 S.1(7)
Violence Against the Person ABH +,00700,Endangering life at sea    [Use this code only if you are unable to determine which subcoded Offence applies],
Violence Against the Person ABH +,00701,Sending unseaworthy ship to sea,Merchant Shipping Act 1995 S.98
Violence Against the Person ABH +,00702,Master of ship not waiting to save lives in collision,Merchant Shipping Act 1995 S.92(1)&(3)
Violence Against the Person ABH +,00703,"Endangering ship, life or limb on ship-board by breach of duty",Pilotage Act 1987 S.21
Violence Against the Person ABH +,00704,Master of ship failing to render assistance to ships in distress or persons in danger at sea,"Merchant Shipping Act 1995 S.93(1), (2), (4) - (7)"
Violence Against the Person ABH +,00705,Taking or sending a ship to sea with load line submerged,Merchant Shipping Act 1995 Sch.3 Paras.4 and 14
Violence Against the Person ABH +,00706,Owner or master of ship contravening cargo ship construction and survey rules,Merchant Shipping Act 1964 S.7; Distress Signals and Prevention of Collisions SI.1983/708 made under Merchant Shipping Act 1979
Violence Against the Person ABH +,00707,"Misconduct of Master or crew likely to endanger ships, structures or individuals",Merchant Shipping Act 1995 S.58
Violence Against the Person ABH +,00708,Drunkenness etc. on duty - Endangering life at sea,Merchant Shipping Act 1995 S.117
Violence Against the Person ABH +,00709,Contravention of deck cargo regulations (load lines etc.),Merchant Shipping Act 1995 Sch.3 para.24
Violence Against the Person ABH +,00710,"Intentionally makes or assists in making or procures to be made, a false or fraudulent certificate (load lines etc.)",Merchant Shipping Act 1995 Sch.3 para.27
Violence Against the Person ABH +,00711,"Using etc. in navigation any unsafe lighter, barge or like vessel, likely to endanger human life",Merchant Shipping Act 1995 S.99
